step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
54,99.84682841328834,99.74344188981289,99.9534418898129,0,0.6126901230764332,0.6126901230764332,0.6126901230764332,6,0.060005190697175075,
55,99.85073664893252,99.74182841328833,99.95182841328834,-1,100.56251853636478,0.7117818874322523,0.7112818874322524,7,0.06391342634136166,buy
56,99.82897986699645,99.76073664893252,99.97073664893253,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,sell
57,99.85692705738268,99.72397986699644,99.93397986699645,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,buy
58,99.87030922342714,99.75192705738267,99.96192705738268,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,sell
59,99.91768196111946,99.76530922342714,99.97530922342715,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,
60,99.91412281133616,99.81268196111945,100.02268196111946,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,
61,99.95330286358737,99.80912281133615,100.01912281133616,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,
62,99.94097504666236,99.84830286358736,100.05830286358737,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,sell
63,99.94647207977901,99.83597504666236,100.04597504666236,0,0.7997818874322604,0.7997818874322604,0.7997818874322604,8,0.08567020827743425,
64,99.90542730380164,99.84147207977901,100.05147207977902,-1,100.84925396721128,0.943826663409638,0.943326663409638,9,0.08567020827743425,buy
65,99.94927063256891,99.81542730380164,100.02542730380165,-1,100.84925396721128,0.8999833346423713,0.8994833346423714,9,0.08567020827743425,
66,99.99143208732325,99.85927063256891,100.06927063256892,-1,100.84925396721128,0.8578218798880357,0.8573218798880358,9,0.08567020827743425,sell
67,99.98652880036751,99.90143208732324,100.11143208732325,-1,100.84925396721128,0.8627251668437736,0.8622251668437737,9,0.08567020827743425,buy
68,99.92502363733658,99.8965288003675,100.10652880036751,-1,100.84925396721128,0.9242303298747032,0.9237303298747033,9,0.08567020827743425,
69,99.8997267292278,99.83502363733658,100.04502363733658,-1,100.84925396721128,0.9495272379834887,0.9490272379834888,9,0.08567020827743425,
70,99.87338215821993,99.80972672922779,100.0197267292278,-1,100.84925396721128,0.9758718089913572,0.9753718089913572,9,0.08567020827743425,
71,99.90085923449061,99.78338215821992,99.99338215821993,-1,100.84925396721128,0.9483947327206721,0.9478947327206722,9,0.08567020827743425,
72,99.90177817926845,99.81085923449061,100.02085923449062,-1,100.84925396721128,0.9474757879428353,0.9469757879428353,9,0.08567020827743425,buy
73,99.93186091402758,99.81177817926844,100.02177817926845,-1,100.84925396721128,0.9173930531837016,0.9168930531837016,9,0.08567020827743425,
74,99.97198285725086,99.84186091402758,100.05186091402759,-1,100.84925396721128,0.877271109960418,0.8767711099604181,9,0.08567020827743425,buy
75,99.97728005800448,99.88198285725086,100.09198285725087,-1,100.84925396721128,0.8719739092068011,0.8714739092068011,9,0.08567020827743425,buy
76,100.0528042791305,99.88728005800448,100.09728005800449,-1,100.84925396721128,0.7964496880807843,0.7959496880807844,9,0.08567020827743425,
